device_id,device_type,location,timestamp,temperature,humidity,status
DEV001,vibration,東京,2026-04-27 00:00:00,25.5,44.5,normal
DEV002,temperature,愛知,2026-04-27 00:00:00,18.5,41.6,normal
DEV003,humidity,東京,2026-04-27 00:00:00,28.4,48.1,normal
DEV004,temperature,東京,2026-04-27 00:00:00,22.3,58.1,normal
DEV005,vibration,東京,2026-04-27 00:00:00,20.1,36.5,normal
DEV006,vibration,愛知,2026-04-27 00:00:00,29.1,38.8,normal
DEV007,vibration,東京,2026-04-27 00:00:00,27.3,31.3,normal
DEV008,vibration,大阪,2026-04-27 00:00:00,18.8,52.7,normal
DEV009,temperature,東京,2026-04-27 00:00:00,24.0,55.7,normal
DEV010,temperature,東京,2026-04-27 00:00:00,21.0,40.5,N/A
DEV011,temperature,愛知,2026-04-27 00:00:00,25.0,69.9,normal
DEV012,vibration,東京,2026-04-27 00:00:00,19.1,,normal
DEV013,vibration,東京,2026-04-27 00:00:00,19.9,53.9,normal
DEV014,vibration,愛知,2026-04-27 00:00:00,30.0,68.8,normal
DEV015,vibration,愛知,2026-04-27 00:00:00,19.4,60.0,normal
DEV016,humidity,東京,2026-04-27 00:00:00,23.2,68.2,normal
DEV017,humidity,愛知,2026-04-27 00:00:00,27.1,34.3,normal
DEV018,humidity,東京,2026-04-27 00:00:00,24.1,45.0,normal
DEV019,temperature,愛知,2026-04-27 00:00:00,27.3,30.0,normal
DEV020,humidity,大阪,2026-04-27 00:00:00,19.3,69.4,normal
DEV021,humidity,東京,2026-04-27 00:00:00,20.9,33.2,warning
DEV022,temperature,大阪,2026-04-27 00:00:00,29.7,35.0,warning
DEV023,temperature,東京,2026-04-27 00:00:00,20.0,54.3,normal
DEV024,humidity,東京,2026-04-27 00:00:00,27.1,58.5,normal
DEV025,humidity,大阪,2026-04-27 00:00:00,25.8,50.7,normal
DEV026,vibration,大阪,2026-04-27 00:00:00,18.8,N/A,critical
DEV027,temperature,愛知,2026-04-27 00:00:00,20.6,55.2,normal
DEV028,humidity,愛知,2026-04-27 00:00:00,18.4,50.6,normal
DEV029,temperature,大阪,2026-04-27 00:00:00,20.6,67.4,N/A
DEV030,temperature,愛知,2026-04-27 00:00:00,20.9,46.3,normal
DEV001,vibration,東京,2026-04-27 00:05:00,23.2,48.7,normal
DEV002,temperature,愛知,2026-04-27 00:05:00,29.8,46.1,normal
