master_id,official_name,industry,region,established_year
M001,株式会社ABC商事,商社,大阪,1985
M002,XYZコーポレーション,IT,東京,2002
M003,大阪電子工業株式会社,製造業,大阪,1968
M004,京都製造株式会社,製造業,京都,1975
M005,神戸物産株式会社,食品,兵庫,1990
M006,関西エネルギー株式会社,エネルギー,大阪,1972
M007,大阪鉄鋼株式会社,製造業,大阪,1958
M008,西日本電気株式会社,エネルギー,広島,1962
M009,日本化学工業株式会社,化学,東京,1955
M010,阪神運輸株式会社,物流,兵庫,1980
M011,兵庫食品工業株式会社,食品,兵庫,1965
M012,九州自動車工業株式会社,製造業,福岡,1970
M013,北海道乳業株式会社,食品,北海道,1948
M014,東京メディカル株式会社,医療,東京,1995
M015,中部不動産株式会社,不動産,愛知,1988
M016,近畿システムズ株式会社,IT,大阪,2005
M017,東海運輸株式会社,物流,愛知,1975
M018,山陽建設株式会社,建設,岡山,1960
M019,四国電機株式会社,製造業,香川,1972
M020,瀬戸内テクノロジー株式会社,IT,広島,2010
M021,大阪ファイナンス株式会社,金融,大阪,1992
M022,ジャパン医薬品株式会社,医療,東京,1985
M023,東北機械工業株式会社,製造業,宮城,1968
M024,新潟食品株式会社,食品,新潟,1970
M025,全国保険株式会社,金融,東京,1955
