transaction_id,master_id,department,transaction_date,amount
T00009,M002,サポート部,2026-03-21,3285650
T00065,M012,経理部,2026-03-20,712340
T00041,M006,サポート部,2026-03-30,529963
T00066,M012,営業部,2026-03-01,580612
T00089,M024,経理部,2026-03-14,172427
T00076,M015,サポート部,2026-03-22,591559
T00037,M005,サポート部,2026-03-08,2360140
T00079,M017,営業部,2026-03-11,195207
T00072,M014,サポート部,2026-03-31,373148
T00087,M023,経理部,2026-03-26,99914
T00059,M011,サポート部,2026-03-01,476183
T00016,M003,経理部,2026-03-03,1405657
T00023,M004,営業部,2026-03-19,3955188
T00005,M001,経理部,2026-03-19,1133306
T00015,M003,経理部,2026-03-07,1428700
T00091,M025,サポート部,2026-03-21,75799
T00054,M010,サポート部,2026-03-09,212038
T00027,M004,経理部,2026-03-04,2165905
T00077,M016,サポート部,2026-03-29,168354
T00026,M004,営業部,2026-03-28,4634295
T00092,M025,経理部,2026-03-02,138946
T00088,M023,営業部,2026-03-04,162997
T00073,M014,サポート部,2026-03-09,643692
T00048,M009,営業部,2026-03-08,734277
T00068,M013,サポート部,2026-03-29,282582
T00067,M013,営業部,2026-03-08,452572
T00029,M004,営業部,2026-03-12,2552651
T00020,M003,経理部,2026-03-30,1330511
T00003,M001,営業部,2026-03-24,3838283
T00064,M012,サポート部,2026-03-18,200599
T00082,M020,営業部,2026-03-03,136619
T00006,M001,営業部,2026-03-01,1917034
T00039,M006,経理部,2026-03-26,620651
T00011,M002,経理部,2026-03-19,4394997
T00034,M005,営業部,2026-03-08,2938859
T00033,M005,サポート部,2026-03-06,4058179
T00075,M015,経理部,2026-03-23,618373
T00044,M007,経理部,2026-03-05,346413
T00040,M006,営業部,2026-03-09,421231
T00042,M007,経理部,2026-03-21,614850
T00021,M003,経理部,2026-03-18,4478775
T00056,M010,サポート部,2026-03-22,479786
T00035,M005,経理部,2026-03-13,4881371
T00038,M005,営業部,2026-03-27,1960697
T00004,M001,サポート部,2026-03-24,1364647
T00014,M003,経理部,2026-03-11,1652128
T00090,M024,サポート部,2026-03-28,64200
T00080,M018,営業部,2026-03-19,51885
T00083,M021,営業部,2026-03-17,123001
T00084,M022,営業部,2026-03-16,191356
T00046,M008,サポート部,2026-03-09,649245
T00043,M007,サポート部,2026-03-29,681141
T00086,M022,経理部,2026-03-19,113700
T00081,M019,サポート部,2026-03-23,65433
T00047,M008,サポート部,2026-03-29,618801
T00045,M008,サポート部,2026-03-24,765158
T00078,M016,営業部,2026-03-04,108903
T00019,M003,サポート部,2026-03-15,1523558
T00030,M004,営業部,2026-03-12,3810918
T00061,M011,営業部,2026-03-30,512942
T00051,M009,営業部,2026-03-21,642666
T00085,M022,サポート部,2026-03-05,199695
T00017,M003,経理部,2026-03-12,3532210
T00050,M009,営業部,2026-03-28,360265
T00001,M001,サポート部,2026-03-01,2153556
T00049,M009,営業部,2026-03-16,249405
T00074,M015,サポート部,2026-03-30,410922
T00008,M002,営業部,2026-03-18,4003203
T00052,M010,経理部,2026-03-03,600156
T00028,M004,サポート部,2026-03-15,4498512
T00062,M012,サポート部,2026-03-17,408573
T00063,M012,経理部,2026-03-05,369396
T00053,M010,経理部,2026-03-20,754816
T00022,M003,サポート部,2026-03-21,4713853
T00031,M005,サポート部,2026-03-23,3718057
T00012,M002,営業部,2026-03-28,4182668
T00002,M001,営業部,2026-03-08,1585264
T00070,M013,営業部,2026-03-27,758582
T00007,M002,サポート部,2026-03-17,1111299
T00013,M002,営業部,2026-03-26,3928208
T00071,M014,サポート部,2026-03-05,698369
T00057,M011,営業部,2026-03-11,507757
T00010,M002,営業部,2026-03-14,2884119
T00032,M005,サポート部,2026-03-03,3663291
T00060,M011,営業部,2026-03-17,732342
T00036,M005,サポート部,2026-03-21,3336016
T00024,M004,営業部,2026-03-03,3773539
T00055,M010,サポート部,2026-03-22,320116
T00018,M003,営業部,2026-03-09,4060716
T00058,M011,営業部,2026-03-14,675763
T00069,M013,サポート部,2026-03-03,709597
T00093,M025,営業部,2026-03-26,115183
T00025,M004,経理部,2026-03-08,1334671
